Timestamp,FPS,Processing_Latency_ms,Landmark_Status,Prediction_Confidence,Predicted_Gesture_ID,CPU_Usage_%,Memory_Usage_MB
2025-12-08 11:17:03.927463,0.00,0.00,Not Detected,0.0000,N/A,0.0,3878.9
2025-12-08 11:17:04.933713,0.00,0.00,Not Detected,0.0000,N/A,33.1,3749.9
2025-12-08 11:17:05.937444,0.00,0.00,Not Detected,0.0000,N/A,31.7,3784.6
2025-12-08 11:17:06.945401,0.00,0.00,Not Detected,0.0000,N/A,26.8,3770.2
2025-12-08 11:17:07.948387,0.00,0.00,Not Detected,0.0000,N/A,34.9,3631.7
2025-12-08 11:17:08.949798,0.00,0.00,Not Detected,0.0000,N/A,36.9,3545.2
2025-12-08 11:17:09.954488,0.00,0.00,Not Detected,0.0000,N/A,25.8,3529.8
2025-12-08 11:17:10.967427,0.00,0.00,Not Detected,0.0000,N/A,30.8,3503.0
2025-12-08 11:17:11.970829,0.00,0.00,Not Detected,0.0000,N/A,20.0,3501.2
2025-12-08 11:17:12.979214,0.00,0.00,Not Detected,0.0000,N/A,21.7,3498.9
2025-12-08 11:17:13.990392,0.00,0.00,Not Detected,0.0000,N/A,21.4,3491.1
2025-12-08 11:17:14.995096,0.00,0.00,Not Detected,0.0000,N/A,22.0,3489.5
2025-12-08 11:17:16.003382,0.00,0.00,Not Detected,0.0000,N/A,22.9,3521.0
2025-12-08 11:17:17.007946,0.00,0.00,Not Detected,0.0000,N/A,22.7,3519.8
2025-12-08 11:17:18.008145,0.00,0.00,Not Detected,0.0000,N/A,21.8,3520.6
2025-12-08 11:17:19.010904,0.00,0.00,Not Detected,0.0000,N/A,20.4,3527.1
2025-12-08 11:17:20.013028,0.00,0.00,Not Detected,0.0000,N/A,20.7,3527.9
2025-12-08 11:17:21.014164,0.00,0.00,Not Detected,0.0000,N/A,19.7,3506.9
2025-12-08 11:17:22.015128,0.00,0.00,Not Detected,0.0000,N/A,18.9,3506.9
2025-12-08 11:17:23.018400,0.00,0.00,Not Detected,0.0000,N/A,19.5,3505.6
2025-12-08 11:17:24.019859,0.00,0.00,Not Detected,0.0000,N/A,19.4,3520.8
2025-12-08 11:17:25.021563,0.00,0.00,Not Detected,0.0000,N/A,18.9,3511.6
2025-12-08 11:17:26.030469,0.00,0.00,Not Detected,0.0000,N/A,18.9,3511.9
2025-12-08 11:17:27.030650,0.00,0.00,Not Detected,0.0000,N/A,18.7,3512.0
2025-12-08 11:17:28.037459,0.00,0.00,Not Detected,0.0000,N/A,18.6,3512.0
2025-12-08 11:17:29.039984,0.00,0.00,Not Detected,0.0000,N/A,19.5,3510.5
2025-12-08 11:17:30.056184,0.00,0.00,Not Detected,0.0000,N/A,18.7,3508.7
2025-12-08 11:17:31.058295,0.00,0.00,Not Detected,0.0000,N/A,18.9,3510.3
2025-12-08 11:17:32.062052,0.00,0.00,Not Detected,0.0000,N/A,19.3,3511.5
2025-12-08 11:17:33.070879,0.00,0.00,Not Detected,0.0000,N/A,19.6,3510.6
2025-12-08 11:17:34.073411,0.00,0.00,Not Detected,0.0000,N/A,22.7,3512.5
2025-12-08 11:17:35.079947,0.00,0.00,Not Detected,0.0000,N/A,20.8,3513.2
2025-12-08 11:17:36.081739,0.00,0.00,Not Detected,0.0000,N/A,18.7,3511.4
2025-12-08 11:17:37.089389,0.00,0.00,Not Detected,0.0000,N/A,18.7,3512.3
2025-12-08 11:17:38.092497,0.00,0.00,Not Detected,0.0000,N/A,20.7,3521.7
2025-12-08 11:17:39.094892,0.00,0.00,Not Detected,0.0000,N/A,18.6,3522.3
2025-12-08 11:17:40.096684,0.00,0.00,Not Detected,0.0000,N/A,19.0,3514.2
2025-12-08 11:17:41.099316,0.00,0.00,Not Detected,0.0000,N/A,18.4,3516.3
