Timestamp,FPS,Processing_Latency_ms,Landmark_Status,Prediction_Confidence,Predicted_Gesture_ID,CPU_Usage_%,Memory_Usage_MB
2025-12-10 22:44:23.843909,0.00,0.00,Not Detected,0.0000,N/A,0.0,3266.9
2025-12-10 22:44:24.848733,0.00,0.00,Not Detected,0.0000,N/A,25.6,3194.0
2025-12-10 22:44:25.859492,0.00,0.00,Not Detected,0.0000,N/A,24.2,3073.0
2025-12-10 22:44:26.867263,0.00,58.71,Not Detected,0.0000,N/A,23.8,3103.5
2025-12-10 22:44:27.867327,0.00,58.95,Detected (21 landmarks),0.0000,N/A,23.7,3109.8
2025-12-10 22:44:28.867914,2.91,83.54,Detected (21 landmarks),0.9644,1,12.7,3088.2
2025-12-10 22:44:29.869171,5.50,77.99,Detected (21 landmarks),0.8361,1,13.8,3088.8
2025-12-10 22:44:30.877196,5.50,0.00,Detected (21 landmarks),0.9450,1,15.7,3116.0
2025-12-10 22:44:31.881711,6.30,79.50,Detected (21 landmarks),0.4679,3,14.0,3120.7
2025-12-10 22:44:32.888647,6.30,84.73,Detected (21 landmarks),0.9997,2,13.0,3130.2
2025-12-10 22:44:33.890417,5.48,77.89,Detected (21 landmarks),1.0000,2,11.3,3101.2
2025-12-10 22:44:34.890765,6.34,81.45,Detected (21 landmarks),0.7546,2,18.1,3058.6
2025-12-10 22:44:35.894692,6.34,82.64,Detected (21 landmarks),0.9833,2,22.2,3063.6
2025-12-10 22:44:36.899783,5.48,82.23,Detected (21 landmarks),0.9990,2,24.5,3054.7
2025-12-10 22:44:37.907284,5.48,82.31,Detected (21 landmarks),0.9959,2,28.4,3078.8
2025-12-10 22:44:38.913321,6.33,83.50,Detected (21 landmarks),1.0000,2,27.9,3010.1
2025-12-10 22:44:39.922221,5.86,0.00,Detected (21 landmarks),1.0000,2,15.8,3081.2
2025-12-10 22:44:40.928110,5.86,79.96,Detected (21 landmarks),1.0000,2,20.3,3076.1
2025-12-10 22:44:41.931485,5.91,78.18,Detected (21 landmarks),1.0000,2,30.8,3029.2
2025-12-10 22:44:42.939032,5.91,82.51,Detected (21 landmarks),1.0000,2,18.6,3014.8
2025-12-10 22:44:43.950879,6.31,83.63,Detected (21 landmarks),0.9953,2,20.0,2962.6
2025-12-10 22:44:44.951274,6.31,81.71,Detected (21 landmarks),0.9960,2,13.6,3000.5
2025-12-10 22:44:45.953621,5.46,79.38,Detected (21 landmarks),0.0000,N/A,15.4,3031.3
2025-12-10 22:44:46.962342,6.35,80.28,Detected (21 landmarks),0.9071,3,14.2,2995.4
2025-12-10 22:44:47.968841,6.35,74.94,Detected (21 landmarks),0.9990,2,14.2,3042.1
2025-12-10 22:44:48.970777,5.46,73.53,Detected (21 landmarks),1.0000,2,11.3,3053.8
2025-12-10 22:44:49.981977,5.46,0.00,Detected (21 landmarks),0.9924,2,12.1,3017.7
2025-12-10 22:44:50.992316,6.33,83.00,Detected (21 landmarks),0.0000,N/A,25.4,3103.6
